Name	X	Y
HG001.table	10	14.0
HG001.table	11	13.0
HG001.table	12	12.0
HG001.table	13	13.0
HG001.table	14	13.0
HG001.table	15	16.0
HG001.table	16	14.0
HG001.table	17	17.0
HG001.table	18	13.0
HG001.table	19	15.0
HG001.table	20	16.0
HG001.table	21	16.0
HG001.table	22	15.0
HG001.table	23	18.0
HG001.table	24	17.0
HG001.table	25	17.0
HG001.table	26	16.0
HG001.table	27	18.0
HG001.table	28	17.0
HG001.table	29	17.0
HG001.table	30	18.0
HG001.table	31	18.0
HG001.table	32	18.0
HG001.table	33	19.0
HG001.table	34	18.0
HG001.table	35	20.0
HG001.table	36	18.0
HG001.table	37	18.0
HG001.table	38	16.0
HG001.table	39	18.0
HG001.table	40	17.0
HG001.table	41	17.0
HG001.table	6	6.0
HG001.table	7	8.0
HG001.table	8	9.0
HG001.table	9	9.0
HG002.table	10	14.0
HG002.table	11	14.0
HG002.table	12	13.0
HG002.table	13	13.0
HG002.table	14	14.0
HG002.table	15	16.0
HG002.table	16	15.0
HG002.table	17	17.0
HG002.table	18	14.0
HG002.table	19	17.0
HG002.table	20	17.0
HG002.table	21	18.0
HG002.table	22	17.0
HG002.table	23	19.0
HG002.table	24	18.0
HG002.table	25	18.0
HG002.table	26	17.0
HG002.table	27	19.0
HG002.table	28	19.0
HG002.table	29	19.0
HG002.table	30	20.0
HG002.table	31	19.0
HG002.table	32	20.0
HG002.table	33	21.0
HG002.table	34	20.0
HG002.table	35	22.0
HG002.table	36	21.0
HG002.table	37	21.0
HG002.table	38	19.0
HG002.table	39	21.0
HG002.table	40	19.0
HG002.table	41	20.0
HG002.table	6	6.0
HG002.table	7	8.0
HG002.table	8	9.0
HG002.table	9	9.0
HG003.table	10	13.0
HG003.table	11	13.0
HG003.table	12	13.0
HG003.table	13	13.0
HG003.table	14	13.0
HG003.table	15	15.0
HG003.table	16	15.0
HG003.table	17	16.0
HG003.table	18	14.0
HG003.table	19	16.0
HG003.table	20	17.0
HG003.table	21	18.0
HG003.table	22	17.0
HG003.table	23	19.0
HG003.table	24	18.0
HG003.table	25	18.0
HG003.table	26	17.0
HG003.table	27	19.0
HG003.table	28	19.0
HG003.table	29	18.0
HG003.table	30	20.0
HG003.table	31	19.0
HG003.table	32	20.0
HG003.table	33	20.0
HG003.table	34	20.0
HG003.table	35	22.0
HG003.table	36	21.0
HG003.table	37	21.0
HG003.table	38	19.0
HG003.table	39	20.0
HG003.table	40	20.0
HG003.table	41	20.0
HG003.table	6	6.0
HG003.table	7	8.0
HG003.table	8	8.0
HG003.table	9	9.0
